Method,alien,amidar,assault,asterix,bankheist,battlezone,boxing,breakout,choppercommand,crazyclimber,demonattack,freeway,frostbite,MedianHNS26
BBF (RR8) \cite{schwarzer_bigger_2023},13.702273204878296,13.936267673437472,361.0611805007602,45.04961836663331,97.2662065232102,63.45502835403058,711.6182572614108,1281.7234190410006,102.45560150833232,190.23310404848115,725.1147652740897,86.14396755660697,54.32954678533787,91.70508703990858
SR-SPR (RR16) \cite{doro_sample-efficient_2023},12.754440249567024,11.532155006914742,166.76160966879007,8.357348703170029,70.0365408038977,43.962386045510016,379.6680497925312,82.62682418346073,23.584417954020196,138.7829405682485,146.36791960108414,85.80601554579248,59.01393605808644,68.45072579702106
STORM \cite{zhang_storm_2023},10.960224349451808,11.625518605614651,111.35466984854024,9.863383695272088,84.82879956692379,32.10106955710286,663.4854771784233,49.61779013203613,16.375745043182093,223.54474647589316,0.7108574821460972,114.86988847583643,29.296170511769528,58.19479803918963
TWM \cite{robine_transformer-based_2023},6.476133885028153,6.770611473219235,88.56834933892728,10.931715963488598,61.23968060630667,7.775464790754433,642.7385892116183,63.51633078526754,13.477679114462962,243.68295613779443,10.892667667254925,82.0885434268334,33.034313151422886,50.5326797265526
IRIS \cite{micheli_transformers_2023},2.7862520742903936,8.007679155993067,250.57446931352365,7.760481352417012,5.264582487481392,30.763046443184265,581.3278008298755,284.85059068797773,11.464542026517456,193.79573554128123,103.4855656897187,105.06928016221696,4.541515399929735,28.879973014599173
DIAMOND \cite{alonso_diffusion_2024},7.483387560779426,12.839245388713508,250.959373376186,42.06407582024044,0.744349709026932,6.724571100423516,720.746887966805,454.41278665740094,8.496533268458824,352.8590077807808,7.478572567388522,112.5042244001352,4.892844595385878,37.3414986628634
EfficientZero-V2 \cite{wang_efficientzero_2024},19.274777353459083,10.45263839694701,295.4350378168241,742.7682587148663,176.27554472865071,34.665996698011625,621.9917012448134,1384.2251563585824,5.863033694197785,405.5379677351101,1243.6668810784363,-0.0337952010814464,25.08724675020494,123.46687202171356
SAC-BBF (RR2) \cite{zhang_generalizing_2024},13.488358611294284,12.01636197067216,312.4689671099478,65.49202368176722,115.36202463120856,56.28023831742158,697.4854771784233,1130.3822098679636,121.8616956574626,296.0293665590106,1060.2090239866295,55.5795876985468,49.28118046609674,90.24530586973256
HarmonyDream \cite{ma_harmonydream_2024},9.597895636924903,7.890974657618177,150.22998017744078,11.213871438390028,142.75274056029232,40.47376354891968,663.4854771784233,178.17929117442668,10.628269067023476,287.27209578065305,2.799997800904928,-0.0337952010814464,14.376390678065343,67.05328441667231
REM \cite{cohen_improving_2024},5.499315212429077,5.224276869751945,296.7244664267431,17.2126897616148,0.6766815536608473,27.17967123680999,725.7261410788383,309.1730368311327,26.61172606738839,262.5548427276248,307.13276486725715,109.12470429199054,4.105867197564118,28.03543500190649
DART \cite{agarwal_learning_2024},10.641381459285936,6.99818524505027,210.46746598410348,8.997624588523266,83.29949925565029,37.22632976814299,688.3817427385893,139.6108408617095,6.884807201070428,92.9785339875204,126.46061145838488,108.78675228117608,6.595620096029981,78.9974526866686
MOOSS \cite{sun_mooss_2024},10.483409300067391,11.771399228583263,85.5660976501607,11.213871438390028,37.055081878468,25.851123393869784,185.47717842323647,52.39749826268242,10.126505291327089,41.17067016914914,41.33913894432441,68.57046299425481,66.36140063239255,41.254904556736776
DreamerV3 \cite{hafner_mastering_2024},12.90226740773484,5.323475693370601,88.64533015145975,10.273353188718604,51.94207605900663,51.511018591630176,680.0829875518673,28.769979152189016,21.45420265174553,301.188874561358,23.361536727636576,-0.0337952010814464,77.56880196744349,49.41736146234015
SimPLe \cite{kaiser_model-based_2024},5.639895941274937,3.998879636815601,58.66130367006025,11.072793700939313,2.706726214643389,4.798506926997344,64.31535269709543,51.00764419735927,2.560515752341564,206.80788377932765,3.0803824226330865,56.404190604934094,4.021548190654643,13.406831673431276
PaMoRL \cite{wang_parallelizing_2024},15.113877636794468,15.09164220734888,127.28969804276284,33.12674086310636,32.71078630396536,59.608068336802816,729.0456431535271,48.92286309937457,19.76189028098771,292.7134524869355,3.0858801603140305,114.19398445420752,85.4011008314791,71.75341398737558
Drama (XS) \cite{wang_drama_2025},8.58339553185168,7.307452165743729,60.93223763976829,17.146371167086684,16.61929895791041,24.406001004952984,646.8879668049793,18.34607366226546,12.635324169809026,292.03078777910406,2.6900430472860424,50.65900642108821,16.859116992622088,26.972803190494798
DyMoDreamer \cite{zhang_dymodreamer_2025},10.771817187081066,8.66122434689245,130.81157021612364,11.883086346810076,163.48626336446068,39.85356399397028,776.3485477178424,133.7039610840862,-1.0734703807322712,286.5950201406049,5.290472970372693,21.595133491044272,15.383534371706288,76.38893576648215
EDELINE \cite{lee_edeline_2025},10.823991478199115,17.1398061538282,193.10829275803005,48.40654504238361,113.6554337528759,9.54217213408944,730.7053941908714,864.4197359277275,18.79789563313465,363.2914020176535,47.50210288466296,114.19398445420752,5.190303314205411,81.70267098113341
FNC \cite{yang_full_2025},14.819672606323234,9.799093206047624,442.4491445507208,50.65173091531719,103.81648396264715,60.23401048022396,661.8257261410789,1294.2321056289086,30.27612212626201,209.76050844548064,1135.0590731913817,91.5511997296384,30.73427801850334,89.54507026980362
RLPD-GX \cite{cai_guardian_2025},30.97486213668215,16.352050789797694,368.27813167567984,282.9030663306525,212.18026796589527,51.58567224176297,787.9668049792532,1946.7685892981235,57.97652353728257,454.5169648168183,671.2699224269213,121.62892869212573,98.3440683920834,125.89596236880286
TWISTER \cite{burchi_learning_2025},10.757324328437162,10.40012137267831,95.958507342045,13.215487200511255,125.5650290973068,21.70698442322877,729.8755186721993,115.63585823488532,1.505291327089162,283.8428034764001,7.528052206517018,108.11084825954714,5.61658273802553,77.2566600761552
GIT-STORM \cite{meo_masked_2025},13.293574591120226,10.225064625115976,143.30170704951792,7.246813692981082,66.15238868588442,20.4149020170842,671.7842323651453,35.71924947880473,18.808539107164577,177.47885136672667,3.8995453370937865,43.89996620479892,12.104461880782292,42.62828131145916
