Rank,Games,Methods,Train RMSE,CV RMSE,CV MAE,CV R2,Approx Relative Error (%),Coefficients
26,"assault, bankheist, qbert",42,0.12937890040761252,0.13536948858319814,0.10943267862215877,0.7322778827338812,25.197805448179096,"0.5357874565, 0.2489887423, 0.1112261183"
27,"assault, bankheist, krull",42,0.12916098682470278,0.13567715632469537,0.1011668113046981,0.7310595422544303,23.294519161593932,"0.4312949357, 0.2328257371, 0.149587724"
28,"amidar, bankheist, breakout",42,0.12643963351604603,0.1359078383846119,0.10538598773747557,0.7301442447745752,24.266020437476453,"0.9249514295, 0.2142540664, 0.1972915333"
29,"breakout, mspacman, upndown",42,0.1292200711458452,0.13637075212401484,0.10620626179995543,0.7283028104284665,24.45489552032003,"0.2044039247, 0.6288403579, 0.2344452295"
30,"alien, breakout, kungfumaster",42,0.124926082690779,0.13672451056041943,0.10662686068976783,0.7268913664448242,24.551741993701217,"0.6620933734, 0.1664208318, 0.3425100444"
31,"breakout, frostbite, hero",42,0.12845144438929335,0.13686076198916491,0.10758801372862234,0.7263467679274852,24.77305565963645,"0.2698405901, 0.1562014554, 0.6799414597"
32,"jamesbond, pong, upndown",42,0.12766349658055604,0.1368662053489399,0.11243164446035861,0.7263249994878407,25.88834285152283,"0.3925411915, 0.2596441011, 0.1908283346"
33,"assault, bankheist, pong",42,0.1287089758012548,0.13707236182393998,0.10634061728160478,0.725499925616087,24.485832013240813,"0.4775357591, 0.257555716, 0.1329042033"
34,"assault, bankheist, kungfumaster",42,0.12617944622273186,0.13757552754633393,0.1044604315674909,0.7234809550475795,24.052903253502915,"0.3968439939, 0.2548659536, 0.2203929876"
35,"bankheist, gopher, roadrunner",42,0.12724110552050588,0.13889171829583088,0.11503729965800966,0.7181647075065158,26.488317133082205,"0.2285652039, 0.05817922914, 0.5291565773"
36,"bankheist, choppercommand, roadrunner",42,0.12754329986395316,0.13899024191600323,0.11549661053119069,0.7177647227969599,26.594077370045877,"0.2379672373, 0.06133615157, 0.5448541514"
37,"breakout, jamesbond, upndown",42,0.12665944246598088,0.1390998072817716,0.11194283648298131,0.7173195778822465,25.775790655318275,"0.1579894468, 0.4348744402, 0.2234852465"
38,"assault, kangaroo, upndown",42,0.12481174220382128,0.13912080369150295,0.11540968991495541,0.7172342330923213,26.574063158524158,"0.4523207512, 0.1873494993, 0.1997907675"
39,"breakout, krull, upndown",42,0.12720487077059417,0.14001099271944573,0.11396463557958328,0.7136040024170809,26.24132710140473,"0.1468167806, 0.360189825, 0.2379728672"
40,"alien, assault, kangaroo",42,0.1278659411063268,0.14003616313737466,0.1121463603766339,0.7135010197186018,25.822653763677533,"0.500056299, 0.3911523863, 0.1825648457"
41,"amidar, breakout, upndown",42,0.1242468752128944,0.14020055965180292,0.1100608182248067,0.7128279495764589,25.342439936716726,"0.8087160676, 0.207439181, 0.2398043492"
42,"breakout, kangaroo, kungfumaster",42,0.1254313481573918,0.14020650917560729,0.11038477902015269,0.7128035763042586,25.417034666524547,"0.1618860292, 0.2417555862, 0.4635314075"
43,"amidar, breakout, hero",42,0.1275475786238579,0.140294597058005,0.11208520775762784,0.7124425877577636,25.80857285278544,"0.4955977429, 0.2255009628, 0.5345958535"
44,"bankheist, roadrunner, upndown",42,0.12516128303894403,0.14036914672708234,0.11403502438659167,0.7121369023493975,26.257534723177844,"0.2086775167, 0.5051763848, 0.1046046244"
45,"bankheist, krull, roadrunner",42,0.1265766357638763,0.14059143620579298,0.11632526305523291,0.7112244567578173,26.784881664959027,"0.2101227681, 0.1340847983, 0.437926802"
46,"bankheist, jamesbond, roadrunner",42,0.12703899925238787,0.14078733786486125,0.1121963418771823,0.7104191300139018,25.83416242948635,"0.2264425273, 0.1811563356, 0.4068656946"
47,"breakout, hero, kangaroo",42,0.12548192765316643,0.14142714707579748,0.1198022674633111,0.7077811441545376,27.585491516790572,"0.2197044806, 0.6677465493, 0.1703819339"
48,"asterix, kangaroo, kungfumaster",42,0.1278197614828678,0.1414649253997715,0.11516053740189292,0.7076250070438287,26.516693672278187,"0.2234792055, 0.2798234809, 0.4567857189"
49,"bankheist, kungfumaster, roadrunner",42,0.12530357129019917,0.14265233458468848,0.11924440259027222,0.7026962127128988,27.457038382734133,"0.2333582203, 0.1888436805, 0.413782769"
50,"bankheist, kangaroo, roadrunner",42,0.127839889206253,0.1428473606935641,0.11654457887398603,0.7018827435776855,26.835380998450898,"0.2075204849, 0.07769681232, 0.5279109427"
51,"bankheist, roadrunner, seaquest",42,0.12486571544192576,0.1428811028797871,0.1192810034420285,0.7017418895083576,27.465466040298626,"0.2218441562, 0.5380522245, 0.2358463179"
52,"bankheist, freeway, roadrunner",42,0.1275847164503461,0.1443710437112453,0.1175118213548531,0.6954890831487528,27.058096810226406,"0.2525413843, 0.04478431556, 0.5261983629"
53,"amidar, bankheist, pong",42,0.1284232449319204,0.14445996720154364,0.10637252198898009,0.6951138484466866,24.493178343600686,"0.7462861871, 0.2137258004, 0.3173511159"
54,"bankheist, mspacman, roadrunner",42,0.12898431753804426,0.14468176361040636,0.11797395106578643,0.6941769166861331,27.16450610856888,"0.2224700339, 0.1372068163, 0.503134749"
55,"krull, qbert, upndown",42,0.1293270134405513,0.14469133240146184,0.11685235101308881,0.6941364630189795,26.906248152404594,"0.3750022226, 0.2352351248, 0.2252251292"
56,"bankheist, boxing, kungfumaster",42,0.12822064107528752,0.14473348281951617,0.12331003974334423,0.6939582332165584,28.39318593295277,"0.2410405691, 0.1356368481, 0.4971333488"
57,"amidar, bankheist, roadrunner",42,0.12861562139955837,0.14942813736391392,0.11951994243025195,0.6737823607640464,27.520483775540466,"0.201289726, 0.2310722151, 0.4874441732"
