Method,alien,amidar,assault,asterix,bankheist,battlezone,boxing,breakout,choppercommand,crazyclimber,demonattack,freeway,frostbite,gopher,hero,jamesbond,kangaroo,krull,kungfumaster,mspacman,pong,privateeye,qbert,roadrunner,seaquest,upndown,MedianHNS26
EqR (LR+LGET) \cite{mondal_eqr_2022},9.35006775411416,7.739258809730821,98.51811935874984,8.350113947403326,51.86087427256733,31.28275069987797,324.89626556016606,49.61779013203613,5.035883712443742,164.5884649625333,20.89305250889259,85.13011152416357,38.27614474762853,30.37263910158244,17.085997953652132,106.17238860482104,108.74958095876634,362.513466672912,76.7530630221819,20.411480517134983,41.37638062871708,0.0919674300711065,4.898157566856668,174.85542860790196,1.4992985807275232,462.2394666571085,39.8262626881728
S-RYM \cite{cetin_hyperbolic_2022},6.542801034790108,6.58505132080316,93.12176440022324,3.91882604029759,32.5889836243064,67.3031368889527,76.59751037344398,196.17790132036131,1.1707821432915704,45.69262522505978,213.28638265353808,99.66204798918554,24.52277784283874,40.614413661886864,22.24012338491038,128.19576333089847,32.450553134428425,214.2461005199307,46.025411739583056,12.46632451876044,92.5800056641178,0.1166416186267692,19.09635907282456,283.9662985893917,0.9726982372821612,24.387533826771087,36.60169864309663
MLR \cite{yu_mask-based_2022},11.048630787179617,12.950114662169652,81.08196532014396,8.123424933379958,22.479361212613348,39.39415691622999,218.6721991701245,52.39749826268242,1.515934801119086,55.30302727864297,38.623256529937926,102.0277120648868,54.24288558379201,26.2053923615945,23.12906656268257,143.97370343316288,283.7412001340932,217.8134807250925,46.238955769692765,17.66928043586232,72.52902860379496,0.1079280065843848,24.426233455118904,153.675879236612,1.3335302229536778,55.0395168372193,42.81655634296138
A-LIX \cite{cetin_stabilizing_2022},9.771809940651744,9.83235398808447,84.32093300744789,7.2287268035643235,84.61226146975233,34.77137319646831,178.00829875518673,75.74704656011119,-0.9731176255929936,169.2110232385454,40.46774752189474,104.86650895572828,41.7027755006441,11.276625365446192,20.667777873603622,114.13440467494522,216.3928930606772,307.83549580776616,71.43715132263834,14.314525232153878,75.7292551685075,0.1079280065843848,21.142838225822956,222.88249186187528,1.396169702974542,40.12885535583074,41.08526151126942
VCR-K5 \cite{yue_value-consistent_2022},8.618178392597049,9.618201233566548,67.2061738611651,10.387903488358074,39.17986195696305,31.299978465293236,352.28215767634856,57.95691452397498,3.2416980902566603,116.8430549844504,22.448912272599824,63.16323082122338,52.21922941796464,13.0910947143719,16.14738939637436,129.108838568298,112.00469326181695,243.6788608365731,86.4016941159722,17.60456330990473,61.20079297649391,0.1063463278308167,4.719090640969308,137.03453118018766,1.0784470172413383,126.71105216939372,45.69954568746384
BarlowRL \cite{cagatan_barlowrl_2023},7.350053261255517,10.744399642884234,110.43090009815054,7.695368550516684,61.21261334416024,48.702892828942645,2.074688796680498,3.057678943710911,5.701861087458947,49.78382284252003,39.40943301831296,93.24095978371072,53.52383183042512,2.3434962179219454,20.591434131458215,115.48575602629656,46.24874287629903,147.95540774743546,46.52546067675662,30.59313998464849,10.790144435004256,0.0889478615415673,5.169767483853881,37.57068998531946,1.0403393487875807,28.60714349719529,29.60014174092189
BBF (RR8) \cite{schwarzer_bigger_2023},13.702273204878296,13.936267673437472,361.0611805007602,45.04961836663331,97.2662065232102,63.45502835403058,711.6182572614108,1281.7234190410006,102.45560150833232,190.23310404848115,725.1147652740897,86.14396755660697,54.32954678533787,49.82133741704951,22.791140635911493,401.972242512783,220.00335232986927,620.6707574125252,83.34089635106639,25.600890989269,105.94732370433304,0.022373564914109,32.22617807980065,426.56922193144834,2.7725710529386967,103.66045986487212,91.70508703990858
SR-SPR (RR16) \cite{doro_sample-efficient_2023},12.754440249567024,11.532155006914742,166.76160966879007,8.357348703170029,70.0365408038977,43.962386045510016,379.6680497925312,82.62682418346073,23.584417954020196,138.7829405682485,146.36791960108414,85.80601554579248,59.01393605808644,21.105387721007933,25.158300007751823,131.51935719503285,120.00335232986926,404.3608599934423,81.81806048634654,19.065966316993517,66.86491079014444,0.1049084380548457,29.19407845238024,171.72272930363184,1.7877259963369003,1002.8575780927972,68.45072579702106
STORM \cite{zhang_storm_2023},10.960224349451808,11.625518605614651,111.35466984854024,9.863383695272088,84.82879956692379,32.10106955710286,663.4854771784233,49.61779013203613,16.375745043182093,223.54474647589316,0.7108574821460972,114.86988847583643,29.296170511769528,370.4301823750522,33.61483759924268,175.31044558071585,139.32282936640965,638.432713476041,115.32934717810464,35.60495462275935,89.80458793542905,11.1523593758178,32.78971222891675,224.06970064466717,1.0874975884991058,66.77180594634312,58.19479803918963
TWM \cite{robine_transformer-based_2023},6.476133885028153,6.770611473219235,88.56834933892728,10.931715963488598,61.23968060630667,7.775464790754433,642.7385892116183,63.51633078526754,13.477679114462962,243.68295613779443,10.892667667254925,82.0885434268334,33.034313151422886,65.76639287205901,20.896473523151283,121.76771365960556,39.825678846798525,445.0934469998594,108.0893147905934,19.281188387038515,111.8946474086661,0.0886602835863731,23.827337350050257,116.13582689730006,1.681500870522051,138.42810803060985,50.5326797265526
